"Date","Team member","Tool","Model","Purpose","Brief task","Output used","Verification or adaptation","Related evidence"
"2026-08-05","Ben Swartz","Claude Web","Claude Opus 5","Planning; code generation; technical guidance; documentation","Issue #13: provision the hosted PostgreSQL instance and establish verified backend access","Database connection check script; issue and Pull Request descriptions; connection-variant and TLS troubleshooting guidance","Ran the connection check successfully against the hosted database; verified the connection variant by DNS and TCP testing rather than accepting the default; kept TLS certificate verification enabled rather than disabling it to pass","evidence/ai/transcripts/ben-swartz/2026-08-05-to-2026-08-07-continuous-project-session.pdf; Issue #13 and linked Pull Request"
"2026-08-06","Ben Swartz","Claude Web","Claude Opus 5","Planning; technical guidance; code generation; documentation","Issue #27: design the delivery event schema, write the migration, and validate it against a published scorecard","Event model design; docs/database/schema.md; the delivery event migration; single-match ingestion script; SQL validation assertions","Design approved by all six members on 6 August before implementation; migration applied, rolled back and reapplied cleanly; 22 assertions checked by SQL over delivery_current reading nothing from the source file; idempotent resubmission confirmed by re-running the ingestion","evidence/ai/transcripts/ben-swartz/2026-08-05-to-2026-08-07-continuous-project-session.pdf; Issue #27 and linked Pull Request"
"2026-08-07","Ben Swartz","Claude Web","Claude Opus 5","Technical guidance; code generation; documentation; review","Issue #27: confirm super-over and miscounted-over ingestion, correct the printed ball number, measure storage, and complete the Pull Request","Corpus inspection scripts; ad-hoc SQL runner and validation queries; ball-number ingestion fix; ADR-003 storage amendment; schema documentation updates; issue and Pull Request wording","Verified every result by SQL rather than by the ingestion summary; identified that the ball number was populated with the array position, contradicting property O1 in docs/database/schema.md, and corrected it; the storage measurement was found insufficient at four fixtures and recorded as outstanding rather than extrapolated; reviewed and merged by another team member","evidence/ai/transcripts/ben-swartz/2026-08-05-to-2026-08-07-continuous-project-session.pdf; Issue #27 and linked Pull Request"
"2026-08-09","Ben Swartz","Claude Web","Claude Opus 5","Review; documentation","Complete the AI evidence for the 7 August session: confirm the register entries and dating, and export the outstanding transcript","Register correction; transcript export","Checked each register row against the date the work was actually done rather than the date of writing; identified that the existing transcript export ended before the session did and exported the remainder","evidence/ai/transcripts/ben-swartz/2026-08-07-to-2026-08-09-continuous-project-session.pdf; Issue #84"
"2026-08-10","Ben Swartz","Claude Web","Claude Opus 5","Planning; technical guidance; code generation; documentation; review","Issues #46, #63 and #105: development seed data, invalid submission examples, entity relationship diagram, and a database latency measurement","Seed script and committed match fixtures; three invalid submission examples and the script producing them; registry resolution fix in ingest-match.ts; docs/database/erd.md; latency measurement script; issue and Pull Request wording","Verified seed repeatability by running it twice and confirming zero rows added; confirmed each invalid example is rejected with a message naming the defect and leaves the database unchanged; identified that the registry guard in ingest-match.ts was never called, so an unresolvable name was inserted as null and rejected with an unhelpful constraint error, and corrected it; excluded the source match files from Prettier rather than reformatting them, because the ingestion hash records the bytes the source published; measured latency over twenty samples rather than asserting it, and asked the team to reproduce the figure before acting on it","evidence/ai/transcripts/ben-swartz/2026-08-10-continuous-project.pdf; Issues #46, #63, #84 and #105 and their linked Pull Requests"
"2026-08-12","Ben Swartz","Claude Web","Claude Opus 5","Research; planning; technical guidance; documentation","Issue #121: resolve the storage constraint in ADR-003 consequence 4 and move the project database to an organisation holding a paid plan","Hosting options comparison; ADR-005; ADR-003 amendment; issue and Pull Request wording; migration and verification steps","Compared four hosting options against current published pricing rather than assumption, and rejected an Oracle proposal by enumerating the PostgreSQL features the schema depends on; verified the move by applying the migrations from empty, loading the seed, and confirming reference fixture 729307 passed all twenty-two assertions against the published scorecard on the new database; corrected a proposed acceptance criterion after identifying that the previous project cannot be deleted because authentication still depends on it","evidence/decisions/ADR-005-database-host-migration.md; evidence/ai/transcripts/ben-swartz/2026-08-10-to-2026-08-13-continuous-project-session.pdf; Issue #121 and linked Pull Request"
"2026-08-13","Ben Swartz","Claude Web","Claude Opus 5","Review; documentation","Issue #121: apply the account authorisation migration to the new database and correct the recorded dates in ADR-003 and ADR-005","Date correction; verification steps","Re-ran the reference fixture validation after another member's migration was applied, confirming all twenty-two assertions still passed; identified that ADR-005 recorded the migration as 11 August when it was performed on 12 August, and corrected both it and the ADR-003 amendment","evidence/ai/transcripts/ben-swartz/2026-08-10-to-2026-08-13-continuous-project-session.pdf; Issue #121"
"2026-08-15","Ben Swartz","Claude Web","Claude Opus 5","Review; technical guidance; code generation; documentation","Issue #49: audit and complete the delivery submission contract after it was delivered through the endpoint work rather than through this issue","Three contract corrections; eleven contract-level and three API-level test cases; docs/api/submission-field-mapping.md; docs/api/event-statistic-mapping.md; issue comment and Pull Request wording","Checked the delivered contract against each acceptance criterion before writing anything, and declined to rebuild what already existed; identified that the contract enumerated a dismissal vocabulary the migration deliberately holds in a lookup table, and that relying on the foreign key alone would return an unexplained 500 rather than a validation failure; the missing test cases exposed a defect where a non-numeric identifier caused BigInt to throw inside safeParse, bypassing the 422 path entirely; verified the full npm run check passes and the strict documentation build succeeds","evidence/ai/transcripts/ben-swartz/2026-08-15-continuous-project-session.md; Issue #49 and linked Pull Request"
"2026-08-16","Ben Swartz","Claude Web","Claude Opus 5","Review; technical guidance; code generation; documentation","Issue #50: audit the validation pipeline and complete the outstanding criteria","Rejection format documentation in docs/api/submissions.md; two sport-specific validation rules and their tests; corpus verification queries; issue comment recording the reusability judgement","Audited the delivered pipeline against each criterion before writing anything, and found most already met, including reference checks scoped to the submitted fixture so an innings identifier from elsewhere cannot be used to write into another fixture; verified both new rules against the full Cricsheet corpus of 3,193,996 deliveries before enforcing them, rather than asserting them from the laws of the game, and confirmed a required fielder may be an unidentified substitute; declined to lift validation out of the write transaction to satisfy the reusability criterion, because running it there prevents a concurrent squad or scope change racing the request, and recorded that reasoning instead of restructuring","evidence/ai/transcripts/ben-swartz/2026-08-16-to-2026-08-17-continuous-project-session.md; Issue #50 and linked Pull Request"
"2026-08-18","Ben Swartz","Claude Web","Claude Opus 5","Technical guidance; code generation; performance analysis","Issue #175: make the full corpus import feasible by reducing the round trips ingestion requires","Corpus importer with per-match transactions, rejection reporting and a progress bar; batched inserts throughout ingestion","Measured the ingestion rate rather than assuming it, and found the first measurement distorted by a suspended machine; established that batching the delivery inserts alone did not help because the round trips lay elsewhere, then batched every insert in the path and measured 0.28 matches per second against 0.05; verified behaviour was unchanged by the reference fixture still passing all twenty-two assertions and the seed still reporting four no-ops; declined to add concurrency because an overnight run was sufficient and the added failure modes were not justified","evidence/ai/transcripts/ben-swartz/2026-08-17-to-2026-08-20-continuous-project-session.md; Issue #175 and linked Pull Request"
